date,product,product_line,product_type,type,market_size,market,state,marketing,total_expenses,inventory,cogs,margin,sales,profit,difference_between_actual_and_target_profit,target_cogs,target_margin,target_sales,target_profit
Dec-2012,Mint,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,24,46,1079,80,96,176,50,20,60,60,120,30
Dec-2012,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,17,45,424,54,73,127,28,-2,50,60,110,30
Dec-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,13,36,435,41,60,101,24,-6,30,60,90,30
Dec-2012,Earl Grey,Leaves,Tea,Regular,Major Market,West,California,15,26,601,54,79,133,53,3,30,60,90,50
Dec-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Missouri,8,19,844,31,46,77,27,-23,30,60,90,50
Dec-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Louisiana,9,20,863,34,51,85,31,-19,40,60,100,50
Dec-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Oklahoma,9,21,870,33,49,82,28,-22,30,60,90,50
Dec-2012,Colombian,Beans,Coffee,Regular,Small Market,East,New Hampshire,15,46,462,48,74,122,28,-2,40,60,100,30
Dec-2012,Caffe Latte,Beans,Espresso,Regular,Small Market,South,Louisiana,49,79,-1053,55,76,131,-3,-3,40,60,100,0
Dec-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,New Mexico,44,74,335,49,69,118,-5,-15,30,60,90,10
Dec-2012,Colombian,Beans,Coffee,Regular,Small Market,West,Nevada,14,48,250,39,49,88,1,-19,40,60,100,20
Dec-2012,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,44,74,335,49,69,118,-5,-5,40,60,100,0
Dec-2012,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Wisconsin,12,36,320,41,66,107,30,0,30,60,90,30
Dec-2012,Lemon,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,28,52,1898,92,68,160,16,-4,80,60,140,20
Dec-2012,Lemon,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,25,58,619,68,85,153,27,7,50,60,110,20
Dec-2012,Mint,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,19,40,1075,63,76,139,36,-4,40,60,100,40
Dec-2012,Mint,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,28,51,1898,92,68,160,17,-3,80,60,140,20
Dec-2012,Earl Grey,Leaves,Tea,Regular,Small Market,Central,Wisconsin,49,79,627,55,76,131,-3,-3,40,60,100,0
Oct-2013,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,46,76,503,51,71,130,-7,-37,30,60,90,30
Oct-2013,Mint,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,17,45,405,52,71,131,39,-11,30,60,90,50
Oct-2013,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,13,36,419,43,64,114,42,-8,30,60,90,50
Oct-2013,Darjeeling,Leaves,Tea,Regular,Major Market,East,Florida,10,21,871,38,56,100,52,2,40,60,100,50
Oct-2013,Green Tea,Leaves,Tea,Regular,Major Market,West,California,23,54,650,72,110,194,83,33,20,60,80,50
Oct-2013,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Iowa,0,12,430,0,43,46,46,-14,0,60,60,60
Oct-2013,Decaf Espresso,Beans,Espresso,Decaf,Small Market,East,Connecticut,15,43,375,47,64,118,31,-19,30,60,90,50
Oct-2013,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Oklahoma,7,18,859,27,39,70,31,-29,30,60,90,60
Oct-2013,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,West,Nevada,9,30,1000,31,37,72,10,-40,30,60,90,50
Oct-2013,Decaf Espresso,Beans,Espresso,Decaf,Small Market,West,Utah,11,22,881,40,59,106,55,-5,20,60,80,60
Oct-2013,Amaretto,Beans,Coffee,Regular,Small Market,East,New Hampshire,15,38,310,49,71,128,49,-11,30,60,90,60
Oct-2013,Colombian,Beans,Coffee,Regular,Small Market,East,New Hampshire,14,45,447,45,69,121,36,-14,30,60,90,50
Oct-2013,Caffe Mocha,Beans,Espresso,Regular,Small Market,East,New Hampshire,41,71,320,45,64,116,-10,-40,30,60,90,30
Oct-2013,Caffe Latte,Beans,Espresso,Regular,Small Market,South,Louisiana,54,83,-762,60,84,153,1,-9,30,60,90,10
Oct-2013,Colombian,Beans,Coffee,Regular,Small Market,West,Nevada,12,45,240,34,43,82,-3,-33,40,60,100,30
Oct-2013,Caffe Latte,Beans,Espresso,Regular,Small Market,West,Oregon,20,54,404,54,66,128,18,-22,40,60,100,40
Oct-2013,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,41,70,320,45,64,116,-9,-39,20,60,80,30
Oct-2013,Lemon,Leaves,Herbal Tea,Decaf,Small Market,Central,Wisconsin,13,25,851,48,70,126,67,7,30,60,90,60
Oct-2013,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,15,38,310,49,71,128,49,-11,30,60,90,60
Oct-2013,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Washington,13,24,829,48,71,127,70,10,30,60,90,60
Oct-2013,Darjeeling,Leaves,Tea,Regular,Small Market,East,Connecticut,11,23,881,40,59,106,53,3,40,60,100,50
Oct-2013,Earl Grey,Leaves,Tea,Regular,Small Market,West,Oregon,27,59,788,82,123,218,95,45,30,60,90,50
Oct-2013,Green Tea,Leaves,Tea,Regular,Small Market,West,Oregon,28,51,656,91,127,232,113,63,40,60,100,50
Nov-2013,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,South,Texas,13,26,536,40,52,98,39,-1,40,60,100,40
Nov-2013,Decaf Espresso,Beans,Espresso,Decaf,Major Market,South,Texas,14,25,589,50,73,131,71,31,30,60,90,40
Nov-2013,Colombian,Beans,Coffee,Regular,Major Market,Central,Colorado,13,25,536,40,52,98,40,0,30,60,90,40
Nov-2013,Caffe Mocha,Beans,Espresso,Regular,Major Market,East,Massachusetts,47,76,554,52,68,128,-12,-12,50,60,110,0
Nov-2013,Mint,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,23,45,1063,75,89,175,65,35,50,60,110,30
Nov-2013,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,14,37,424,46,68,121,46,16,40,60,100,30
Nov-2013,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Colorado,20,54,410,55,69,132,22,2,40,60,100,20
Nov-2013,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Illinois,14,25,589,50,73,131,71,31,40,60,100,40
Nov-2013,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Colorado,17,39,1042,57,68,133,43,13,40,60,100,30
Nov-2013,Darjeeling,Leaves,Tea,Regular,Major Market,East,Massachusetts,10,21,862,36,52,94,46,6,30,60,90,40
Nov-2013,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Missouri,9,21,836,33,48,86,40,-10,40,60,100,50
Nov-2013,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Louisiana,8,19,856,31,47,83,42,-8,30,60,90,50
Nov-2013,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Oklahoma,10,22,862,36,52,94,45,5,40,60,100,40
Nov-2013,Decaf Espresso,Beans,Espresso,Decaf,Small Market,South,Louisiana,15,37,454,49,71,128,50,20,30,60,90,30
Nov-2013,Amaretto,Beans,Coffee,Regular,Small Market,Central,Wisconsin,20,53,391,54,67,129,21,1,50,60,110,20
Nov-2013,Amaretto,Beans,Coffee,Regular,Small Market,East,New Hampshire,14,37,316,46,67,120,45,5,40,60,100,40
Nov-2013,Colombian,Beans,Coffee,Regular,Small Market,East,New Hampshire,14,46,452,43,66,116,30,0,30,60,90,30
Nov-2013,Caffe Mocha,Beans,Espresso,Regular,Small Market,East,New Hampshire,40,70,325,44,62,113,-12,-22,40,60,100,10
Nov-2013,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,Louisiana,16,39,321,53,88,150,73,43,40,60,100,30
Nov-2013,Caffe Mocha,Beans,Espresso,Regular,Small Market,West,Washington,20,54,391,54,67,129,19,-1,50,60,110,20
Nov-2013,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,South,Oklahoma,20,54,391,54,67,129,19,-1,50,60,110,20
Nov-2013,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,14,37,316,46,67,120,45,15,40,60,100,30
Nov-2013,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,14,46,452,43,66,116,30,0,40,60,100,30
Nov-2013,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Washington,13,24,834,47,68,123,65,25,40,60,100,40
Nov-2013,Green Tea,Leaves,Tea,Regular,Small Market,East,Connecticut,10,21,809,36,54,96,49,9,30,60,90,40
Nov-2013,Green Tea,Leaves,Tea,Regular,Small Market,West,Washington,55,85,613,61,86,157,1,1,40,60,100,0
Dec-2013,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,South,Texas,14,26,531,43,56,106,45,5,50,60,110,40
Dec-2013,Decaf Espresso,Beans,Espresso,Decaf,Major Market,South,Texas,15,27,601,54,79,142,77,37,40,60,100,40
Dec-2013,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,42,71,521,47,65,119,-9,-9,40,60,100,0
Dec-2013,Mint,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,17,44,424,54,73,135,43,13,50,60,110,30
Dec-2013,Lemon,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,24,57,403,65,80,155,34,14,40,60,100,20
Dec-2013,Mint,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,24,46,1079,80,96,188,74,44,60,60,120,30
Dec-2013,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,17,45,424,54,73,135,42,12,50,60,110,30
Dec-2013,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,13,36,435,41,60,108,36,6,30,60,90,30
Dec-2013,Earl Grey,Leaves,Tea,Regular,Major Market,West,California,15,26,601,54,79,142,79,29,30,60,90,50
Dec-2013,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Missouri,8,19,844,31,46,82,40,-10,30,60,90,50
Dec-2013,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Louisiana,9,20,863,34,51,91,46,-4,40,60,100,50
Dec-2013,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Oklahoma,9,21,870,33,49,87,42,-8,30,60,90,50
Dec-2013,Colombian,Beans,Coffee,Regular,Small Market,East,New Hampshire,15,46,462,48,74,130,42,12,40,60,100,30
Dec-2013,Caffe Latte,Beans,Espresso,Regular,Small Market,South,Louisiana,49,79,-1053,55,76,140,-4,-4,40,60,100,0
Dec-2013,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,New Mexico,44,74,335,49,69,126,-7,-17,30,60,90,10
Dec-2013,Colombian,Beans,Coffee,Regular,Small Market,West,Nevada,14,48,250,39,49,94,1,-19,40,60,100,20
Dec-2013,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,44,74,335,49,69,126,-7,-7,40,60,100,0
Dec-2013,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Wisconsin,12,36,320,41,66,114,45,15,30,60,90,30
Dec-2013,Lemon,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,28,52,1898,92,68,171,24,4,80,60,140,20
Dec-2013,Lemon,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,25,58,619,68,85,163,40,20,50,60,110,20
Dec-2013,Mint,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,19,40,1075,63,76,148,53,13,40,60,100,40
Dec-2013,Mint,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,28,51,1898,92,68,171,25,5,80,60,140,20
Dec-2013,Earl Grey,Leaves,Tea,Regular,Small Market,Central,Wisconsin,49,79,627,55,76,140,-4,-4,40,60,100,0
Oct-2012,Colombian,Beans,Coffee,Regular,Major Market,Central,Colorado,12,24,541,39,51,90,27,-23,30,50,80,50
Oct-2012,Mint,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,24,46,1055,80,94,174,48,8,40,50,90,40
Oct-2012,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Colorado,20,53,404,54,66,120,13,-17,30,50,80,30
Oct-2012,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Colorado,16,37,1037,54,64,118,27,-13,30,50,80,40
Oct-2012,Darjeeling,Leaves,Tea,Regular,Major Market,East,Massachusetts,7,19,859,27,39,66,20,-30,20,50,70,50
Oct-2012,Earl Grey,Leaves,Tea,Regular,Major Market,West,California,21,32,580,76,111,187,79,29,30,50,80,50
Oct-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Wisconsin,7,19,573,22,29,51,10,-40,20,50,70,50
Oct-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,Central,Iowa,6,17,800,23,35,58,18,-32,20,50,70,50
Oct-2012,Lemon,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,30,64,593,79,98,177,34,4,40,50,90,30
Oct-2012,Mint,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,20,42,1053,65,77,142,35,-15,30,50,80,50
Oct-2012,Darjeeling,Leaves,Tea,Regular,Small Market,Central,Wisconsin,14,37,449,46,67,113,30,-10,20,50,70,40
Oct-2012,Earl Grey,Leaves,Tea,Regular,Small Market,Central,Wisconsin,54,84,606,60,84,144,0,0,40,50,90,0
Oct-2012,Darjeeling,Leaves,Tea,Regular,Small Market,West,Washington,18,42,329,60,99,159,57,17,20,50,70,40
Nov-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,13,25,536,40,52,92,27,-3,30,50,80,30
Nov-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Ohio,10,22,862,36,52,88,30,-10,30,50,80,40
Nov-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,East,Massachusetts,20,54,410,55,69,124,15,-5,40,50,90,20
Nov-2012,Mint,Leaves,Herbal Tea,Decaf,Major Market,West,California,13,25,536,40,52,92,27,-3,30,50,80,30
Nov-2012,Darjeeling,Leaves,Tea,Regular,Major Market,East,Florida,7,19,875,28,42,70,23,-17,20,50,70,40
Nov-2012,Green Tea,Leaves,Tea,Regular,Major Market,East,Florida,8,19,856,31,47,78,28,-12,30,50,80,40
Nov-2012,Green Tea,Leaves,Tea,Regular,Major Market,East,Massachusetts,8,19,482,32,48,80,29,-11,30,50,80,40
Nov-2012,Earl Grey,Leaves,Tea,Regular,Major Market,West,California,14,26,589,50,73,123,47,7,30,50,80,40
Nov-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Iowa,0,12,387,0,43,43,31,-9,0,50,50,40
Nov-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,New Mexico,25,48,1804,82,40,122,-8,-18,90,50,140,10
Nov-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,Central,Iowa,6,18,802,22,34,56,16,-24,20,50,70,40
Nov-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,New Mexico,40,69,325,44,62,106,-7,-7,30,50,80,0
Nov-2012,Colombian,Beans,Coffee,Regular,Small Market,West,Nevada,12,45,243,33,41,74,-4,-14,30,50,80,10
Nov-2012,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,40,70,325,44,62,106,-8,-8,40,50,90,0
Nov-2012,Lemon,Leaves,Herbal Tea,Decaf,Small Market,Central,Wisconsin,8,20,856,31,47,78,27,-13,20,50,70,40
Nov-2012,Mint,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,21,43,1060,69,81,150,38,8,50,50,100,30
Nov-2012,Darjeeling,Leaves,Tea,Regular,Small Market,Central,Wisconsin,15,38,454,49,71,120,33,13,40,50,90,20
Nov-2012,Earl Grey,Leaves,Tea,Regular,Small Market,West,Washington,15,37,454,49,71,120,34,4,30,50,80,30
Dec-2012,Colombian,Beans,Coffee,Regular,Major Market,Central,Colorado,14,27,531,43,56,99,29,-1,40,50,90,30
Dec-2012,Colombian,Beans,Coffee,Regular,Major Market,Central,Ohio,13,36,435,41,60,101,24,4,40,50,90,20
Dec-2012,Caffe Mocha,Beans,Espresso,Regular,Major Market,East,Massachusetts,42,72,571,47,52,99,-20,-10,40,50,90,-10
Dec-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,14,27,531,43,56,99,29,-1,40,50,90,30
Dec-2012,Mint,Leaves,Herbal Tea,Decaf,Major Market,West,California,14,27,531,43,56,99,29,-1,40,50,90,30
Dec-2012,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Colorado,17,51,422,46,57,103,6,-4,30,50,80,10
Dec-2012,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Colorado,16,37,1054,53,63,116,26,6,40,50,90,20
Dec-2012,Darjeeling,Leaves,Tea,Regular,Major Market,East,Massachusetts,9,20,870,33,49,82,29,-11,30,50,80,40
Dec-2012,Green Tea,Leaves,Tea,Regular,Major Market,East,Florida,9,21,863,34,51,85,30,-10,30,50,80,40
Dec-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Iowa,0,11,344,0,43,43,32,-8,0,50,50,40
Dec-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,South,Louisiana,13,36,466,43,63,106,27,7,30,50,80,20
Dec-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,West,Nevada,9,30,1009,31,38,69,8,-22,30,50,80,30
Dec-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,Central,Iowa,6,18,807,23,35,58,17,-23,20,50,70,40
Dec-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,Louisiana,12,35,320,41,66,107,31,11,30,50,80,20
Dec-2012,Caffe Latte,Beans,Espresso,Regular,Small Market,West,Oregon,17,51,422,46,57,103,6,-4,40,50,90,10
Dec-2012,Darjeeling,Leaves,Tea,Regular,Small Market,Central,Wisconsin,13,35,466,43,63,106,28,8,30,50,80,20
Dec-2012,Green Tea,Leaves,Tea,Regular,Small Market,East,Connecticut,9,21,818,33,49,82,28,-12,30,50,80,40
Dec-2012,Darjeeling,Leaves,Tea,Regular,Small Market,West,Utah,44,73,335,49,69,118,-4,-4,30,50,80,0
Dec-2012,Green Tea,Leaves,Tea,Regular,Small Market,West,Washington,49,79,627,55,76,131,-3,7,40,50,90,-10
Oct-2013,Colombian,Beans,Coffee,Regular,Major Market,Central,Colorado,12,24,541,39,51,96,40,-10,30,50,80,50
Oct-2013,Mint,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,24,46,1055,80,94,185,71,31,40,50,90,40
Oct-2013,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Colorado,20,53,404,54,66,128,19,-11,30,50,80,30
Oct-2013,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Colorado,16,37,1037,54,64,126,40,0,30,50,80,40
Oct-2013,Darjeeling,Leaves,Tea,Regular,Major Market,East,Massachusetts,7,19,859,27,39,70,30,-20,20,50,70,50
Oct-2013,Earl Grey,Leaves,Tea,Regular,Major Market,West,California,21,32,580,76,111,199,117,67,30,50,80,50
Oct-2013,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Wisconsin,7,19,573,22,29,54,15,-35,20,50,70,50
Oct-2013,Caffe Mocha,Beans,Espresso,Regular,Small Market,Central,Iowa,6,17,800,23,35,62,27,-23,20,50,70,50
Oct-2013,Lemon,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,30,64,593,79,98,189,50,20,40,50,90,30
Oct-2013,Mint,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,20,42,1053,65,77,151,52,2,30,50,80,50
Oct-2013,Darjeeling,Leaves,Tea,Regular,Small Market,Central,Wisconsin,14,37,449,46,67,120,45,5,20,50,70,40
Oct-2013,Earl Grey,Leaves,Tea,Regular,Small Market,Central,Wisconsin,54,84,606,60,84,153,0,0,40,50,90,0
Oct-2013,Darjeeling,Leaves,Tea,Regular,Small Market,West,Washington,18,42,329,60,99,169,85,45,20,50,70,40
Nov-2013,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,13,25,536,40,52,98,40,10,30,50,80,30
Nov-2013,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Ohio,10,22,862,36,52,94,45,5,30,50,80,40
